Title,Company,Min Salary,Max Salary,Salary Type,Location,Job Posted
JAUNESNIOJI(-YSIS) JAVA PROGRAMUOTOJA (-S) (DATA HUB),Ignitis group,2076,3115,Prieš mokesčius,Vilnius,prieš 1 val.
ABAP Developer Internship (HR Applications),"Festo, UAB",1100,1100,Prieš mokesčius,Kaunas,prieš 7 val.
IT INFRASTRUCTURE DELIVERY MANAGER (F/M/D),Ignitis group,2816,4224,Prieš mokesčius,Vilnius,prieš 7 val.
Data Analyst,"Platforma LT, UAB",2000,0,"""į rankas""",Vilnius,prieš 8 val.
IT PRIEŽIŪROS SPECIALISTĖ (-AS) (MONITORINGO KOMANDOJE),Ignitis group,1597,2396,Prieš mokesčius,Vilnius,prieš 1 d.
AI Developer,"CyberCare, UAB",3300,6000,Prieš mokesčius,Vilnius,prieš 1 d.
Data Architect - Senior Data Engineer,"CyberCare, UAB",4400,6940,Prieš mokesčius,Vilnius,prieš 1 d.
IT MANAGER,Alliance for Recruitment,3960,4658,Prieš mokesčius,Vilnius,prieš 1 d.
IT projektų vadovas (-ė),"Personalo valdymo inovacijos, UAB",3200,4300,Prieš mokesčius,Vilnius,prieš 1 d.
ANALITIKĖ (-AS),Ignitis group,2275,3412,Prieš mokesčius,Vilnius,prieš 2 d.
PRODUKTŲ GRUPĖS VADYBININKAS (-Ė),"LiniKODAS, UAB",1800,3000,Prieš mokesčius,Vilnius,prieš 2 d.
VAIZDO STEBĖJIMO (CCTV) SISTEMŲ INŽINIERIUS,"Advantus, UAB",2000,2400,Prieš mokesčius,Vilnius,prieš 2 d.
Senior Data Science Analyst,"IKI Lietuva, UAB",3000,4000,Prieš mokesčius,Vilnius,prieš 2 d.
Senior Business Analyst,"IKI Lietuva, UAB",3200,3500,Prieš mokesčius,Vilnius,prieš 2 d.
CNC staklių operatorius,"ALT REKLAMA, UAB",900,1400,"""į rankas""",Alytus,prieš 2 d.
IT produkto savininkas (-ė),"Lietuvos paštas, AB",2500,3200,Prieš mokesčius,Vilnius,prieš 2 d.
IT Analitikas,"Everise Labs, UAB",1000,2000,"""į rankas""",Kaunas,prieš 2 d.
ATRASK SAVE ELEKTROS TINKLO KOKYBĖS VERTINIMO INŽINIERĖS (-IAUS) POZICIJOJE,Ignitis group,1597,2396,Prieš mokesčius,Vilnius,prieš 2 d.
ATRASK SAVE ELEKTROS TINKLO KOKYBĖS VERTINIMO INŽINIERĖS (-IAUS) POZICIJOJE,Ignitis group,1597,2396,Prieš mokesčius,Širvintos,prieš 2 d.
ATRASK SAVE ELEKTROS TINKLO KOKYBĖS VERTINIMO INŽINIERĖS (-IAUS) POZICIJOJE,Ignitis group,1597,2396,Prieš mokesčius,Šalčininkai,prieš 2 d.
ATRASK SAVE ELEKTROS TINKLO KOKYBĖS VERTINIMO INŽINIERĖS (-IAUS) POZICIJOJE,Ignitis group,1597,2396,Prieš mokesčius,Trakai,prieš 2 d.
Lektorius maketuotojų mokymams,"SDG, UAB",15,40,Prieš mokesčius,Visa Lietuva,prieš 2 d.
Front-end programmer,UAB Energy Advice,1800,3000,Prieš mokesčius,Kaunas,prieš 2 d.
Verslo duomenų analitikos projekto vadovas (-ė),"Lietuvos paštas, AB",4500,5300,Prieš mokesčius,Vilnius,prieš 2 d.
IT vidaus auditorius (-ė),"Lietuvos paštas, AB",3000,3450,Prieš mokesčius,Vilnius,prieš 2 d.
Verslo duomenų analitikas (-ė),"Lietuvos paštas, AB",2200,2600,Prieš mokesčius,Vilnius,prieš 2 d.
SAP S/4HANA FICO KONSULTANTAS (-Ė),"LIETPAK, UAB",2500,3600,Prieš mokesčius,Vilnius,prieš 2 d.
Informacinių sistemų specialistas (-ė),"DPD Lietuva, UAB",2500,2800,Prieš mokesčius,Vilnius,prieš 2 d.
IT KONSULTANTAS VILNIUJE / KAUNE,"RIVILĖ, UAB",2500,3000,Prieš mokesčius,Kaunas,prieš 3 d.
